#=Quote,EventSymbol,EventTime,BidTime,BidExchangeCode,BidPrice,BidSize,AskTime,AskExchangeCode,AskPrice,AskSize
Quote,AAPL,20190807-083500.016-0500,20190807-083500-0500,N,195.22,5,20190807-083500-0500,Q,195.28,3
Quote,AAPL,20190807-083500.016-0500,20190807-083500-0500,N,195.22,5,20190807-083500-0500,X,195.28,4
Quote,AAPL,20190807-083500.022-0500,20190807-083500-0500,N,195.22,5,20190807-083500-0500,P,195.28,6
Quote,AAPL,20190807-083500.022-0500,20190807-083500-0500,V,195.23,1,20190807-083500-0500,P,195.28,6
Quote,AAPL,20190807-083500.023-0500,20190807-083500-0500,N,195.22,5,20190807-083500-0500,P,195.28,6
Quote,AAPL,20190807-083500.028-0500,20190807-083500-0500,N,195.22,5,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.046-0500,20190807-083500-0500,P,195.22,2,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.046-0500,20190807-083500-0500,V,195.22,1,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.145-0500,20190807-083500-0500,J,195.26,2,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.166-0500,20190807-083500-0500,J,195.26,2,20190807-083500-0500,Q,195.28,1
Quote,AAPL,20190807-083500.166-0500,20190807-083500-0500,J,195.26,2,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.187-0500,20190807-083500-0500,P,195.21,3,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.187-0500,20190807-083500-0500,V,195.23,1,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.199-0500,20190807-083500-0500,K,195.26,1,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.240-0500,20190807-083500-0500,V,195.23,1,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.258-0500,20190807-083500-0500,X,195.22,1,20190807-083500-0500,Q,195.28,2
Quote,AAPL,20190807-083500.288-0500,20190807-083500-0500,V,195.22,1,20190807-083500-0500,Q,195.28,2
