Date,Open,High,Low,Close,Adj Close,Volume
2023-04-13,5.725000,5.725000,5.725000,5.725000,5.725000,300
2023-04-14,5.810000,5.810000,5.810000,5.810000,5.810000,300
2023-04-17,6.125000,6.125000,6.101000,6.120000,6.120000,1100
2023-04-18,6.270000,6.270000,6.240000,6.240000,6.240000,1300
2023-04-19,6.240000,6.240000,6.240000,6.240000,6.240000,0
2023-04-20,6.210000,6.210000,6.210000,6.210000,6.210000,200
2023-04-21,6.210000,6.210000,6.210000,6.210000,6.210000,0
2023-04-24,6.360000,6.360000,6.360000,6.360000,6.360000,900
2023-04-25,6.250000,6.250000,6.135000,6.135000,6.135000,1300
2023-04-26,6.215000,6.250000,6.200000,6.250000,6.250000,2500
2023-04-27,6.315000,6.315000,6.315000,6.315000,6.315000,500
2023-04-28,6.348000,6.375000,6.340000,6.375000,6.375000,900
2023-05-01,6.261000,6.345000,6.261000,6.345000,6.345000,2500
2023-05-02,6.345000,6.345000,6.345000,6.345000,6.345000,0
2023-05-03,6.145000,6.165000,6.145000,6.165000,6.165000,500
2023-05-04,6.165000,6.165000,6.165000,6.165000,6.165000,0
2023-05-05,6.180000,6.180000,6.180000,6.180000,6.180000,300
2023-05-08,6.120000,6.185000,6.120000,6.185000,6.185000,1100
2023-05-09,6.185000,6.185000,6.185000,6.185000,6.185000,0
2023-05-10,6.010000,6.010000,5.897000,5.912000,5.912000,1100
2023-05-11,5.800000,5.800000,5.790000,5.790000,5.790000,1600
2023-05-12,5.675000,5.675000,5.675000,5.675000,5.675000,1100
2023-05-15,5.770000,5.790000,5.740000,5.740000,5.740000,1300
2023-05-16,5.795000,5.860000,5.740000,5.860000,5.860000,1200
2023-05-17,5.590000,5.590000,5.580000,5.590000,5.590000,3000
2023-05-18,5.125000,5.140000,5.125000,5.140000,5.140000,400
2023-05-19,5.104000,5.120000,5.050000,5.060000,5.060000,86500
2023-05-22,5.020000,5.020000,4.960000,4.960000,4.960000,48100
2023-05-23,4.990000,4.990000,4.910000,4.910000,4.910000,5600
2023-05-24,4.880000,4.880000,4.790000,4.850000,4.850000,12700
2023-05-25,4.882000,4.882000,4.840000,4.840000,4.840000,700
2023-05-26,4.870000,4.920000,4.870000,4.896000,4.896000,3600
2023-05-30,4.990000,4.990000,4.930000,4.930000,4.930000,900
2023-05-31,4.915000,4.915000,4.810000,4.880000,4.880000,600
2023-06-01,4.900000,4.925000,4.900000,4.925000,4.925000,500
2023-06-02,4.990000,4.990000,4.990000,4.990000,4.990000,300
2023-06-05,4.886000,4.905000,4.860000,4.900000,4.900000,5900
2023-06-06,4.870000,4.889000,4.870000,4.889000,4.889000,800
2023-06-07,4.868000,4.868000,4.868000,4.868000,4.868000,200
2023-06-08,4.910000,4.934000,4.910000,4.920000,4.920000,1100
2023-06-09,4.925000,4.945000,4.910000,4.945000,4.945000,4800
2023-06-12,4.950000,4.980000,4.950000,4.960000,4.960000,7200
2023-06-13,5.050000,5.100000,5.050000,5.090000,5.090000,54900
2023-06-14,5.220000,5.220000,5.220000,5.220000,5.220000,300
2023-06-15,5.320000,5.395000,5.320000,5.395000,5.395000,5200
2023-06-16,5.395000,5.395000,5.395000,5.395000,5.395000,0
2023-06-20,5.580000,5.580000,5.580000,5.580000,5.580000,300
2023-06-21,5.580000,5.580000,5.580000,5.580000,5.580000,0
2023-06-22,5.510000,5.510000,5.510000,5.510000,5.510000,31100
2023-06-23,5.430000,5.432000,5.425000,5.425000,5.425000,600
2023-06-26,5.429000,5.429000,5.429000,5.429000,5.429000,900
2023-06-27,5.429000,5.429000,5.429000,5.429000,5.429000,200
2023-06-28,5.455000,5.455000,5.455000,5.455000,5.455000,4400
2023-06-29,5.422000,5.435000,5.422000,5.435000,5.435000,600
2023-06-30,5.577000,5.600000,5.577000,5.600000,5.600000,400
2023-07-03,5.600000,5.600000,5.600000,5.600000,5.600000,0
2023-07-05,5.663000,5.679000,5.652000,5.652000,5.652000,500
2023-07-06,5.600000,5.600000,5.540000,5.559000,5.559000,2000
2023-07-07,5.600000,5.660000,5.600000,5.660000,5.660000,2000
2023-07-10,5.660000,5.660000,5.660000,5.660000,5.660000,0
2023-07-11,6.030000,6.030000,6.030000,6.030000,6.030000,100
2023-07-12,6.510000,6.520000,6.440000,6.460000,6.460000,7400
2023-07-13,6.579000,6.579000,6.560000,6.575000,6.575000,1400
2023-07-14,6.540000,6.540000,6.520000,6.532000,6.532000,1400
2023-07-17,6.440000,6.531000,6.430000,6.440000,6.440000,87900
2023-07-18,6.440000,6.440000,6.440000,6.440000,6.440000,300
2023-07-19,6.800000,6.840000,6.800000,6.840000,6.840000,6700
2023-07-20,6.940000,6.948000,6.930000,6.930000,6.930000,1600
2023-07-21,6.910000,6.910000,6.910000,6.910000,6.910000,2100
2023-07-24,6.910000,7.000000,6.850000,6.920000,6.920000,55800
2023-07-25,6.820000,6.860000,6.810000,6.850000,6.850000,38100
2023-07-26,6.790000,6.860000,6.790000,6.860000,6.860000,14000
2023-07-27,6.925000,6.925000,6.820000,6.820000,6.820000,3200
2023-07-28,6.820000,6.820000,6.820000,6.820000,6.820000,100
2023-07-31,6.900000,6.900000,6.800000,6.800000,6.800000,400
2023-08-01,6.800000,6.800000,6.800000,6.800000,6.800000,100
