Date,Tmax
631152000.0,6.0
631238400.0,9.1
631324800.0,5.4
631411200.0,9.6
631497600.0,10.8
631584000.0,12.1
631670400.0,9.8
631756800.0,9.4
631843200.0,10.4
631929600.0,11.3
632016000.0,12.0
632102400.0,9.8
632188800.0,6.8
632275200.0,10.7
632361600.0,12.2
632448000.0,11.9
632534400.0,9.2
632620800.0,9.5
632707200.0,10.4
632793600.0,11.9
632880000.0,12.6
632966400.0,11.7
633052800.0,11.0
633139200.0,12.2
633225600.0,12.5
633312000.0,6.3
633398400.0,9.0
633484800.0,8.8
633571200.0,9.3
633657600.0,10.2
633744000.0,9.0
633830400.0,9.5
633916800.0,9.5
634003200.0,9.8
634089600.0,11.4
634176000.0,13.9
634262400.0,12.2
634348800.0,14.3
634435200.0,10.2
634521600.0,10.5
634608000.0,12.4
634694400.0,8.3
634780800.0,7.1
634867200.0,10.0
634953600.0,5.9
635040000.0,8.0
635126400.0,11.3
635212800.0,13.4
635299200.0,12.0
635385600.0,13.7
635472000.0,13.9
635558400.0,11.4
635644800.0,15.3
635731200.0,15.6
635817600.0,13.1
635904000.0,12.2
635990400.0,9.9
636076800.0,8.7
636163200.0,11.6
636249600.0,9.2
636336000.0,7.7
636422400.0,9.2
636508800.0,11.3
636595200.0,10.3
636681600.0,12.5
636768000.0,10.2
636854400.0,13.4
636940800.0,11.7
637027200.0,13.1
637113600.0,12.3
637200000.0,13.2
637286400.0,11.8
637372800.0,13.2
637459200.0,13.6
637545600.0,16.4
637632000.0,20.9
637718400.0,20.0
637804800.0,13.6
637891200.0,15.5
637977600.0,13.5
638064000.0,12.7
638150400.0,11.9
638236800.0,10.2
638323200.0,10.2
638409600.0,8.9
638496000.0,10.4
638582400.0,11.7
638668800.0,12.9
638755200.0,16.7
638841600.0,16.8
638928000.0,18.8
639014400.0,15.2
639100800.0,8.1
639187200.0,8.0
639273600.0,10.0
639360000.0,10.4
639446400.0,10.6
639532800.0,10.6
639619200.0,11.8
639705600.0,15.5
639792000.0,16.1
639878400.0,15.8
639964800.0,10.8
640051200.0,10.3
640137600.0,12.3
640224000.0,11.3
640310400.0,11.5
640396800.0,11.9
640483200.0,11.9
640569600.0,11.2
640656000.0,14.5
640742400.0,14.8
640828800.0,16.7
640915200.0,17.3
641001600.0,19.0
641088000.0,12.4
641174400.0,12.2
641260800.0,17.3
641347200.0,21.3
641433600.0,22.2
641520000.0,23.2
641606400.0,24.2
641692800.0,25.9
641779200.0,24.9
641865600.0,25.4
641952000.0,22.6
642038400.0,16.8
642124800.0,17.4
642211200.0,14.1
642297600.0,16.1
642384000.0,14.1
642470400.0,15.8
642556800.0,16.2
642643200.0,18.9
642729600.0,19.5
642816000.0,19.8
642902400.0,20.5
642988800.0,14.9
643075200.0,14.8
643161600.0,17.3
643248000.0,19.0
643334400.0,17.7
643420800.0,21.8
643507200.0,17.5
643593600.0,16.0
643680000.0,15.9
643766400.0,20.4
643852800.0,20.8
643939200.0,20.6
644025600.0,19.8
644112000.0,23.3
644198400.0,22.3
644284800.0,18.2
644371200.0,16.0
644457600.0,18.3
644544000.0,15.0
644630400.0,15.0
644716800.0,16.5
644803200.0,13.5
644889600.0,16.3
644976000.0,20.6
645062400.0,13.8
645148800.0,13.4
645235200.0,14.1
645321600.0,16.9
645408000.0,18.7
645494400.0,20.3
645580800.0,21.2
645667200.0,17.7
645753600.0,20.2
645840000.0,18.5
645926400.0,15.4
646012800.0,19.8
646099200.0,17.8
646185600.0,17.4
646272000.0,22.2
646358400.0,23.7
646444800.0,22.2
646531200.0,18.2
646617600.0,21.1
646704000.0,20.2
646790400.0,17.4
646876800.0,17.4
646963200.0,19.0
647049600.0,18.3
647136000.0,15.7
647222400.0,19.2
647308800.0,20.9
647395200.0,22.2
647481600.0,18.2
647568000.0,20.7
647654400.0,26.0
647740800.0,27.3
647827200.0,27.0
647913600.0,24.9
648000000.0,30.5
648086400.0,23.9
648172800.0,27.0
648259200.0,27.6
648345600.0,29.4
648432000.0,30.9
648518400.0,31.1
648604800.0,24.0
648691200.0,24.0
648777600.0,24.2
648864000.0,26.4
648950400.0,24.0
649036800.0,23.6
649123200.0,24.7
649209600.0,24.6
649296000.0,22.5
649382400.0,26.3
649468800.0,31.2
649555200.0,32.8
649641600.0,35.1
649728000.0,30.1
649814400.0,24.1
649900800.0,21.8
649987200.0,22.3
650073600.0,26.0
650160000.0,24.7
650246400.0,24.7
650332800.0,25.2
650419200.0,28.0
650505600.0,24.0
650592000.0,20.5
650678400.0,22.1
650764800.0,20.1
650851200.0,20.3
650937600.0,18.6
651024000.0,21.5
651110400.0,21.0
651196800.0,22.2
651283200.0,26.0
651369600.0,25.8
651456000.0,27.7
651542400.0,26.4
651628800.0,25.3
651715200.0,23.5
651801600.0,26.5
651888000.0,27.7
651974400.0,20.7
652060800.0,20.6
652147200.0,22.2
652233600.0,24.2
652320000.0,23.3
652406400.0,19.8
652492800.0,19.2
652579200.0,18.6
652665600.0,20.4
652752000.0,19.9
652838400.0,21.2
652924800.0,19.8
653011200.0,20.5
653097600.0,20.8
653184000.0,20.6
653270400.0,20.5
653356800.0,18.8
653443200.0,18.4
653529600.0,15.4
653616000.0,20.2
653702400.0,16.2
653788800.0,14.3
653875200.0,15.2
653961600.0,14.9
654048000.0,14.0
654134400.0,15.5
654220800.0,16.3
654307200.0,16.5
654393600.0,15.9
654480000.0,20.2
654566400.0,17.8
654652800.0,18.8
654739200.0,15.6
654825600.0,17.3
654912000.0,17.3
654998400.0,15.9
655084800.0,17.0
655171200.0,17.2
655257600.0,13.2
655344000.0,14.5
655430400.0,16.1
655516800.0,17.6
655603200.0,17.0
655689600.0,22.3
655776000.0,22.3
655862400.0,19.8
655948800.0,19.5
656035200.0,17.3
656121600.0,17.2
656208000.0,15.5
656294400.0,14.7
656380800.0,15.5
656467200.0,15.2
656553600.0,12.7
656640000.0,15.7
656726400.0,15.2
656812800.0,14.8
656899200.0,11.9
656985600.0,13.2
657072000.0,13.1
657158400.0,9.3
657244800.0,13.1
657331200.0,12.4
657417600.0,12.0
657504000.0,8.9
657590400.0,8.9
657676800.0,9.8
657763200.0,9.7
657849600.0,9.4
657936000.0,8.6
658022400.0,8.9
658108800.0,11.9
658195200.0,13.9
658281600.0,13.0
658368000.0,14.4
658454400.0,15.2
658540800.0,15.1
658627200.0,13.8
658713600.0,14.8
658800000.0,15.4
658886400.0,10.8
658972800.0,9.2
659059200.0,6.8
659145600.0,5.7
659232000.0,3.3
659318400.0,5.3
659404800.0,6.2
659491200.0,7.1
659577600.0,7.6
659664000.0,7.7
659750400.0,7.5
659836800.0,5.9
659923200.0,6.7
660009600.0,6.2
660096000.0,5.6
660182400.0,7.3
660268800.0,7.7
660355200.0,7.0
660441600.0,6.3
660528000.0,7.3
660614400.0,2.4
660700800.0,5.2
660787200.0,5.1
660873600.0,9.1
660960000.0,5.1
661046400.0,4.9
661132800.0,2.8
661219200.0,4.8
661305600.0,4.0
661392000.0,2.3
661478400.0,2.1
661564800.0,4.5
661651200.0,9.2
661737600.0,10.7
661824000.0,11.8
661910400.0,9.7
661996800.0,8.9
662083200.0,9.2
662169600.0,12.4
662256000.0,6.5
662342400.0,10.7
662428800.0,7.2
662515200.0,8.0
662601600.0,8.4
662688000.0,12.8
662774400.0,11.0
662860800.0,8.8
662947200.0,9.0
663033600.0,8.2
663120000.0,7.2
663206400.0,7.4
663292800.0,10.7
663379200.0,11.1
663465600.0,7.6
